,market,rank,name,artists,artists_followers,id,album,release_date,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,end_of_fade_in,start_of_fade_out,sections_number,segments_number
1039,SK,40,Pššt,"['Separ', 'Peter Pann']","[231974, 27418]",4ZTKOms7HhgdXfsNOxjQhi,FLOWDEMORT,2023-03-31,54,0.407,0.825,198281,0.727,1.51e-06,0.0671,-5.543,0.172,128.037,0.738,0.0,192.2438,10,835
1040,SK,41,Flow Kmeť,"['Separ', 'Peter Pann']","[231974, 27418]",59aJj6x0XtcgHBbnEy7P2i,FLOWDEMORT,2023-03-31,52,0.186,0.793,228923,0.822,0.0,0.0978,-4.584,0.149,129.961,0.343,0.0,220.7579,10,904
1041,SK,42,Zo dňa na deň,"['Separ', 'Samey']","[231974, 79011]",0pdn0W902sYookvJnRRjmA,FLOWDEMORT,2023-03-31,55,0.507,0.507,247675,0.697,0.0,0.105,-6.192,0.34,156.794,0.524,0.0,241.16245,11,1094
1042,SK,43,Bad Memories (feat. Elley Duhé & FAST BOY),"['MEDUZA', 'James Carter', 'Elley Duhé', 'FAST BOY']","[629128, 36167, 423530, 10383]",3rb0tMq42WfggucPm0HHkA,Bad Memories (feat. Elley Duhé & FAST BOY),2022-07-22,86,0.118,0.607,148629,0.767,0.0,0.122,-6.069,0.0474,123.998,0.662,0.0,146.40181,8,524
1043,SK,44,Až na měsíc,"['Viktor Sheen', 'Calin', 'Hasan', 'Nik Tendo']","[435623, 332517, 69596, 314724]",3rxHQ7HeJCpiei1d6ANDPW,Černobílej svět,2019-05-16,62,0.265,0.741,208696,0.572,0.0,0.13,-10.405,0.0645,115.093,0.525,0.3493,199.90059,11,885
1044,SK,45,Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']","[22489018, 915677]",0NZPBYD5qbEWRs3PrGiRkT,Gloria,2023-01-27,86,0.011,0.712,156943,0.463,2.96e-06,0.301,-7.399,0.0797,131.199,0.206,0.0,152.98466,7,585
1045,SK,46,FULL SPEED,"['Majk Spirit', 'Radikal Chef', 'Matej Straka']","[132141, 44830, 1256]",3aHtnf1xvAf6022h1MTeK0,PLAYLIST,2023-05-05,42,0.294,0.725,182915,0.577,2.7e-05,0.51,-12.739,0.211,135.889,0.565,0.0,179.32771,10,812
1046,SK,47,Secret eyes,"['Hard Rico', 'Calin']","[37043, 332517]",7EdsMzXFu88F4inlWr4ElJ,Secret Eyes,2023-04-28,57,0.0704,0.81,202435,0.565,0.0,0.103,-6.819,0.0784,115.003,0.2,0.0,193.9679,7,770
1047,SK,48,Community service,"['Pil C', 'Separ']","[117290, 231974]",2fsN1mjdT4QCfRZhPQRkck,"S láskou, Lukáš.",2023-02-14,52,0.00205,0.706,168880,0.637,0.000106,0.0502,-5.327,0.059,163.132,0.338,0.12771,163.30014,10,788
1048,SK,49,As It Was,['Harry Styles'],[27413682],4Dvkj6JhhA12EX05fT7y2e,Harry's House,2022-05-20,92,0.342,0.52,167303,0.731,0.00101,0.311,-5.338,0.0557,173.93,0.662,0.19714,159.7533,7,683
1049,SK,50,Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']","[2325632, 42171494]",1s7oOCT8vauUh01PbJD6ps,Rave & Roses Ultra,2023-04-27,77,0.429,0.799,239318,0.802,0.00128,0.171,-5.196,0.0371,107.008,0.811,0.0,231.09079,10,1047
1050,ES,1,Supernova,['Saiko'],[78219],0zY2rypOdM8xmsf4tUyafF,Supernova,2023-04-19,83,0.256,0.725,139091,0.743,0.0,0.0934,-4.185,0.148,87.979,0.542,0.0,183.31573,7,813
1051,ES,2,EL TONTO,"['Lola Indigo', 'Quevedo']","[933115, 1832734]",4rKQ8daoK0aklVptea8A9E,EL DRAGÓN,2023-04-13,83,0.406,0.801,188088,0.801,0.0,0.134,-5.369,0.1,110.029,0.663,0.159,182.75266,9,783
1052,ES,3,BESO,"['ROSALÍA', 'Rauw Alejandro']","[7228066, 16684722]",609E1JCInJncactoMmkDon,RR,2023-03-24,96,0.736,0.768,194543,0.644,0.000837,0.173,-6.671,0.136,95.05,0.53,0.24413,189.59093,10,837
1053,ES,4,Mami Chula,"['Jhayco', 'Quevedo']","[5991478, 1832734]",4aJzxp3gimtAdgJn3DL776,Mami Chula,2023-04-28,84,0.215,0.796,220600,0.701,0.0,0.0946,-3.599,0.0447,119.986,0.325,0.51642,206.00163,11,761
1054,ES,5,El Merengue,"['Marshmello', 'Manuel Turizo']","[35071232, 12088984]",51FvjPEGKq2zByeeEQ43V9,El Merengue,2023-03-03,91,0.0313,0.775,189357,0.677,0.00517,0.112,-4.703,0.0442,124.011,0.698,0.18553,184.69733,5,841
1055,ES,6,Classy 101,"['Feid', 'Young Miko']","[5140012, 502571]",6XSqqQIy7Lm7SnwxS4NrGx,Classy 101,2023-03-31,95,0.145,0.859,195987,0.658,0.0,0.12,-4.79,0.159,100.065,0.672,0.33084,184.64508,11,862
